T,vth
-45,1.0606
-44,1.05879
-43,1.05698
-42,1.05517
-41,1.05336
-40,1.05155
-39,1.04974
-38,1.04793
-37,1.04612
-36,1.04431
-35,1.0425
-34,1.04069
-33,1.03888
-32,1.03707
-31,1.03526
-30,1.03345
-29,1.03164
-28,1.02983
-27,1.02802
-26,1.0262
-25,1.02439
-24,1.02258
-23,1.02077
-22,1.01896
-21,1.01715
-20,1.01534
-19,1.01353
-18,1.01172
-17,1.00991
-16,1.0081
-15,1.00629
-14,1.00448
-13,1.00267
-12,1.00086
-11,0.999049
-10,0.997238
-9,0.995428
-8,0.993617
-7,0.991807
-6,0.989997
-5,0.988186
-4,0.986376
-3,0.984565
-2,0.982755
-1,0.980944
0,0.979134
1,0.977324
2,0.975513
3,0.973703
4,0.971892
5,0.970082
6,0.968272
7,0.966461
8,0.964651
9,0.96284
10,0.96103
11,0.95922
12,0.957409
13,0.955599
14,0.953788
15,0.951978
16,0.950167
17,0.948357
18,0.946547
19,0.944736
20,0.942926
21,0.941115
22,0.939305
23,0.937495
24,0.935684
25,0.933874
26,0.932063
27,0.930253
28,0.928443
29,0.926632
30,0.924822
31,0.923011
32,0.921201
33,0.91939
34,0.91758
35,0.91577
36,0.913959
37,0.912149
38,0.910338
39,0.908528
40,0.906718
41,0.904907
42,0.903097
43,0.901286
44,0.899476
45,0.897666
46,0.895855
47,0.894045
48,0.892234
49,0.890424
50,0.888614
51,0.886803
52,0.884993
53,0.883182
54,0.881372
55,0.879561
56,0.877751
57,0.875941
58,0.87413
59,0.87232
60,0.870509
61,0.868699
62,0.866889
63,0.865078
64,0.863268
65,0.861457
66,0.859647
67,0.857837
68,0.856026
69,0.854216
70,0.852405
71,0.850595
72,0.848785
73,0.846974
74,0.845164
75,0.843353
76,0.841543
77,0.839732
78,0.837922
79,0.836112
80,0.834301
81,0.832491
82,0.83068
83,0.82887
84,0.82706
85,0.825249
86,0.823439
87,0.821628
88,0.819818
89,0.818008
90,0.816197
91,0.814387
92,0.812576
93,0.810766
94,0.808955
95,0.807145
96,0.805335
97,0.803524
98,0.801714
99,0.799903
100,0.798093
101,0.796283
102,0.794472
103,0.792662
104,0.790851
105,0.789041
106,0.787231
107,0.78542
108,0.78361
109,0.781799
110,0.779989
111,0.778179
112,0.776368
113,0.774558
114,0.772747
115,0.770937
116,0.769126
117,0.767316
118,0.765506
119,0.763695
120,0.761885
121,0.760074
122,0.758264
123,0.756454
124,0.754643
125,0.752833
